GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",285572693,286153009,293369240,302750269,310197494,314795460,324550451,327561751,325697627,340175461,347987667,357087616,358112069,365795093,381287879,389080919,399360729,412855824
14500,"Boulder, CO (Metropolitan Statistical Area) *",17964928,16741531,16905361,17506618,17975234,18560976,19581301,20283744,20034850,20453633,20369551,20432621,20865085,21597092,22669578,23423069,24607654,25319458
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4528394,4672626,4868234,5081289,5402704,5640790,5593007,5608203,5202001,5620158,5668732,5839269,5853097,5961930,6046031,6192425,6254353,6345352
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",8340712,8744547,8928264,9247335,9555384,9876412,9998739,10273737,10028525,9994989,9937999,9863291,9803681,9986462,10240128,10651098,11035875,11512963
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",77238519,77562792,77230039,81462568,83832207,85708467,89664782,89929011,84105033,82853670,78333135,81498346,79489419,77948626,78667116,77878283,77609152,77951236
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",7365660,7737017,7868478,7905010,8139291,8571078,8658509,8761092,8766068,9096646,9292541,9384090,9475171,9508697,9544503,9659865,9737643,10011608
15260,"Brunswick, GA (Metropolitan Statistical Area)",3375846,3432498,3600831,3874789,3939584,4117015,4104220,3920878,3790043,3861573,3774649,3687023,3649093,3620803,3745325,3753885,3824135,3957917
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",47849533,48926781,49648229,51248410,51749715,54202581,54370032,54853171,55107422,56819099,56070658,57255716,56632250,57796514,58704385,59198536,59746005,60321806
15500,"Burlington, NC (Metropolitan Statistical Area)",4617488,4834509,4808885,5088884,5117843,5385108,5306622,5264265,4902628,5097987,5212032,5164078,5090709,5053477,5027956,5142796,5200654,5364474
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",8884111,9114336,9718632,10353858,10482693,10697194,10459920,11007893,10913781,11512362,11785665,11884675,11622073,11676920,11913012,12084885,12125000,12355977
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3951040,4240038,4491366,4689187,4838773,5108951,5221182,5264576,5478178,5901066,6153892,6151620,6110228,6208958,6285462,6408602,6402262,6611288
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",14602991,14901231,14909597,15158871,15417745,15153927,14872165,14860937,13898706,14361383,15449664,15136412,16262715,17785916,18170205,18021271,18134746,18391465
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",16913097,18103269,19795127,22238600,24637526,26400165,25945779,23813820,21848280,21680472,21405188,21694925,21861382,22943136,24022905,25401906,26207287,27046186
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3331685,3422736,3480834,3606154,3765205,3918341,3968035,3941510,3903177,3863641,3834430,3823965,3834456,3833321,3929416,3910830,3913734,4012835
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4461160,4654479,4627811,4699261,4873224,5158590,5173682,5288791,5329346,5510649,5578659,5576272,5429958,5618133,5506822,5666292,5589686,5830177
16180,"Carson City, NV (Metropolitan Statistical Area)",2962202,3096442,3267809,3350307,3384579,3310229,3499673,3455451,3199325,3339703,3112612,3099888,3078551,2902925,2995127,2993317,3156084,3240155
16220,"Casper, WY (Metropolitan Statistical Area)",3144705,3235126,3309678,3530674,3822187,4346656,4497376,4586541,4293445,4484485,4749504,5304065,5433215,5853352,5831864,5176638,5010582,5171022
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",10553390,10455043,11234309,12254472,12857814,12792268,13929540,13900976,14433863,15390555,15830796,15797948,15473029,16226368,16794211,16934705,16790507,17255840
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3989061,3909331,4193892,4540791,4900647,5213708,5530215,5420526,5074166,5076679,5130252,5053603,5157593,5256309,5271900,5241440,5412963,5583610
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",8664471,8992412,9019418,9118605,9172232,9454056,9712819,10016652,9953481,10330251,10388887,10437119,10727065,10822986,10870433,10509639,10435942,10833954
16620,"Charleston, WV (Metropolitan Statistical Area)",13706196,13803005,13697109,13584323,13911144,13984729,13948487,13927914,13858855,13511246,13525298,13032390,12839516,12466487,12026131,11739628,11538213,12113811
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",21653742,22489587,23728962,24959946,26509880,27301191,28347500,28260049,27492440,28482118,29772873,31340382,31112632,32052064,33460560,35002215,36394735,37696866
